EXPEDITION,BLOCK,PLOT,TRT,ID,N,P,CATIONS,COLLECTION_DATE,CONDITION,Weight1_1,Weight1_2,Weight1_3,Mean_weight_1,Weight2_1,Weight2_2,Weight2_3,Mean_weight_2,Weight3_1,Weight3_2,Weight3_3,Mean_weight_3,Residual_fat,Standard_residuals_hingstepeira
THIRD,B4,P4,N+P,NP_R48,1,1,0,25/03/2024,Adult,0.0043,0.0044,0.0045,0.0044,0.0036,0.0038,0.0037,0.0037,0.0034,0.0036,0.0036,0.0035,9.00E-04,0.383986014
THIRD,B3,P7,N+P,NP_R49,1,1,0,26/03/2024,Adult,0.0037,0.0041,0.0035,0.0038,0.0034,0.0036,0.0038,0.0036,0.0038,0.0037,0.0037,0.0037,1.00E-04,-1.068066683
THIRD,B3,P7,N+P,NP_R50,1,1,0,26/03/2024,Adult,0.0037,0.0035,0.0035,0.0036,0.0033,0.0036,0.0033,0.0034,0.0034,0.0034,0.0036,0.0035,1.00E-04,-0.948783635
THIRD,B3,P7,N+P,NP_R52,1,1,0,26/03/2024,Adult,0.0055,0.0048,0.0055,0.0053,0.004,0.0038,0.0044,0.0041,0.0041,0.0045,0.0039,0.0042,0.0011,0.299580871
FIRST,B4,P7,N+P+Cations,NPCa_R01,1,1,1,28/10/2022,Adult,0.0036,0.0036,0.0037,0.0036,0.0035,0.0037,0.0036,0.0036,0.0036,0.0035,0.0036,0.0036,0,-1.174991737
THIRD,B1,P6,N+P+Cations,NPCa_R18,1,1,1,19/03/2024,Adult,0.0038,0.0037,0.0039,0.0038,0.0036,0.0034,0.0035,0.0035,0.0036,0.0035,0.0034,0.0035,3.00E-04,-0.615591223
THIRD,B1,P6,N+P+Cations,NPCa_R19,1,1,1,19/03/2024,Adult,0.0039,0.0037,0.0037,0.0038,0.0033,0.0031,0.0036,0.0033,0.0036,0.0034,0.0036,0.0035,3.00E-04,-0.615591223
THIRD,B3,P3,N+P+Cations,NPCa_R22_dup,1,1,1,26/03/2024,Adult,0.0028,0.0021,0.0024,0.0024,0.0018,0.0021,0.0023,0.0021,0.0023,0.0023,0.0019,0.0022,2.00E-04,-0.006388301
THIRD,B4,P7,N+P+Cations,NPCa_R24,1,1,1,23/03/2024,Adult,0.004,0.0033,0.0032,0.0035,0.0031,0.0029,0.003,0.003,0.0032,0.0029,0.003,0.003,5.00E-04,0.016012331
FIRST,B2,P4,P+Cations,PCa_R01,0,1,1,26/10/2022,Adult,0.0031,0.004,0.0036,0.0036,0.0037,0.0035,0.0035,0.0036,0.0036,0.0034,0.0033,0.0034,2.00E-04,-0.722581428
