EXPEDITION,BLOCK,PLOT,ID,STEP,WEIGHT
THIRD,3,8,N_R57,P2,0.0033
THIRD,3,8,N_R58,Pi,0.005
THIRD,3,8,N_R58,P1,0.004
THIRD,3,8,N_R58,P2,0.0035
THIRD,3,8,N_R59,Pi,0.0045
THIRD,3,8,N_R59,P1,0.004
THIRD,3,8,N_R59,P2,0.0041
THIRD,3,8,N_R62,Pi,0.0086
THIRD,3,8,N_R62,P1,0.0055
THIRD,3,8,N_R62,P2,0.0056
FIRST,3,5,NCa_R01,Pi,0.0022
FIRST,3,5,NCa_R01,P1,0.0022
FIRST,3,5,NCa_R01,P2,0.0022
SECOND,4,3,NCa_R24,Pi,0.0032
SECOND,4,3,NCa_R24,P1,0.0024
SECOND,4,3,NCa_R24,P2,0.0021
THIRD,4,3,NCa_R30,Pi,0.0047
THIRD,4,3,NCa_R30,P1,0.0039
THIRD,4,3,NCa_R30,P2,0.0039
THIRD,4,3,NCa_R32,Pi,0.0033
THIRD,4,3,NCa_R32,P1,0.0029
THIRD,4,3,NCa_R32,P2,0.0031
THIRD,4,3,NCa_R35,Pi,0.0048
THIRD,4,3,NCa_R35,P1,0.0036
THIRD,4,3,NCa_R35,P2,0.0037
THIRD,1,2,NCa_R36,Pi,0.0043
THIRD,1,2,NCa_R36,P1,0.0038
THIRD,1,2,NCa_R36,P2,0.004
THIRD,1,2,NCa_R37,Pi,0.0039
THIRD,1,2,NCa_R37,P1,0.0036
THIRD,1,2,NCa_R37,P2,0.0035
THIRD,1,2,NCa_R38,Pi,0.004
THIRD,1,2,NCa_R38,P1,0.0039
THIRD,1,2,NCa_R38,P2,0.004
THIRD,4,3,NCa_R41,Pi,0.0069
THIRD,4,3,NCa_R41,P1,0.0059
THIRD,4,3,NCa_R41,P2,0.0057
THIRD,4,3,NCa_R47,Pi,0.0029
THIRD,4,3,NCa_R47,P1,0.0027
THIRD,4,3,NCa_R47,P2,0.0029
THIRD,4,3,NCa_R48,Pi,0.0053
THIRD,4,3,NCa_R48,P1,0.0042
THIRD,4,3,NCa_R48,P2,0.0044
THIRD,4,3,NCa_R49,Pi,0.0072
THIRD,4,3,NCa_R49,P1,0.0054
THIRD,4,3,NCa_R49,P2,0.0056
THIRD,4,3,NCa_R50,Pi,0.0042
THIRD,4,3,NCa_R50,P1,0.0034
THIRD,4,3,NCa_R50,P2,0.0033
THIRD,4,3,NCa_R53,Pi,0.0041
THIRD,4,3,NCa_R53,P1,0.0034
THIRD,4,3,NCa_R53,P2,0.0032
THIRD,4,3,NCa_R54,Pi,0.0055
THIRD,4,3,NCa_R54,P1,0.0046
THIRD,4,3,NCa_R54,P2,0.0046
THIRD,3,5,NCa_R54_dup,Pi,0.0031
THIRD,3,5,NCa_R54_dup,P1,0.0024
THIRD,3,5,NCa_R54_dup,P2,0.0024
THIRD,3,5,NCa_R55_dup,Pi,0.0023
THIRD,3,5,NCa_R55_dup,P1,0.0024
THIRD,3,5,NCa_R55_dup,P2,0.0022
THIRD,3,5,NCa_R56,Pi,0.0034
THIRD,3,5,NCa_R56,P1,0.0029
THIRD,3,5,NCa_R56,P2,0.0029
THIRD,3,5,NCa_R57,Pi,0.0045
THIRD,3,5,NCa_R57,P1,0.0039
THIRD,3,5,NCa_R57,P2,0.004
FIRST,3,7,NP_R01,Pi,0.0032
FIRST,3,7,NP_R01,P1,0.0031
FIRST,3,7,NP_R01,P2,0.0031
FIRST,3,7,NP_R02,Pi,0.0041
FIRST,3,7,NP_R02,P1,0.0041
FIRST,3,7,NP_R02,P2,0.0041
FIRST,3,7,NP_R03,Pi,0.0033
FIRST,3,7,NP_R03,P1,0.0029
FIRST,3,7,NP_R03,P2,0.003
SECOND,3,7,NP_R07,Pi,0.0025
SECOND,3,7,NP_R07,P1,0.0022
SECOND,3,7,NP_R07,P2,0.0025
THIRD,1,7,NP_R20,Pi,0.0048
THIRD,1,7,NP_R20,P1,0.0045
THIRD,1,7,NP_R20,P2,0.0045
THIRD,1,7,NP_R21,Pi,0.003
THIRD,1,7,NP_R21,P1,0.0031
THIRD,1,7,NP_R21,P2,0.003
THIRD,1,7,NP_R21_dup,Pi,0.0048
THIRD,1,7,NP_R21_dup,P1,0.0044
THIRD,1,7,NP_R21_dup,P2,0.0043
THIRD,1,7,NP_R22,Pi,0.0128
THIRD,1,7,NP_R22,P1,0.0092
THIRD,1,7,NP_R22,P2,0.0098
THIRD,1,7,NP_R23,Pi,0.0052
THIRD,1,7,NP_R23,P1,0.0048
THIRD,1,7,NP_R23,P2,0.0047
THIRD,2,2,NP_R24,Pi,0.0055
THIRD,2,2,NP_R24,P1,0.0034
THIRD,2,2,NP_R24,P2,0.0036
THIRD,4,4,NP_R40,Pi,0.0033
THIRD,4,4,NP_R40,P1,0.0031
THIRD,4,4,NP_R40,P2,0.003
THIRD,4,4,NP_R41,Pi,0.0057
THIRD,4,4,NP_R41,P1,0.0049
